stock_code,name_snapshot,latest_close,latest_total_cap,latest_float_cap,pb
600251,冠农股份,12.69,9860048568.0,9860048568.0,2.44
301123,奕东电子,66.4,15580096000.0,10958764630.0,5.56
300255,常山药业,41.26,37920451826.0,37861140576.0,31.34
688021,奥福科技,26.01,1987520779.0,1987520779.0,2.28
688348,昱能科技,52.03,8131114943.0,8131114943.0,2.37
600593,大连圣亚,34.47,4496439150.0,4439736000.0,21.51
920422,润普食品,11.38,1006933240.0,753614440.0,2.31
002145,钛能化学,4.73,18005559426.0,18004623240.0,1.48
002857,三晖电气,21.49,2807324660.0,2750720000.0,6.02
300618,寒锐钴业,47.96,14853072484.0,13068939718.0,2.68
600816,建元信托,2.77,27269121664.0,15149512036.0,1.78
688107,安路科技,31.54,12642789035.0,12642789035.0,14.0
601038,一拖股份,13.69,15382703815.0,10017045215.0,1.87
001309,德明利,522.7,118572225437.0,84325319734.0,36.27
000517,荣安地产,1.99,6336005745.0,4959052968.0,1.36
300842,帝科股份,90.0,13075176870.0,11620929600.0,8.15
002607,中公教育,2.59,15973564418.0,14357510149.0,19.85
603116,红蜻蜓,6.38,3676161104.0,3676161104.0,1.45
920570,坤博精工,28.76,1442884052.0,700732367.0,4.05
603270,金帝股份,27.27,5975038809.0,1928443509.0,2.6
002027,分众传媒,6.42,92718922241.0,92718922241.0,6.0
300781,因赛集团,34.34,5637781176.0,4159861098.0,10.24
301053,远信工业,63.98,6027158996.0,5597014162.0,6.57
603257,中国瑞林,61.18,7341600000.0,1523382000.0,2.86
300014,亿纬锂能,74.11,159509673578.0,155002930423.0,3.52
002078,太阳纸业,15.12,42253370999.0,41993599859.0,1.35
001301,尚太科技,84.36,22001286246.0,15669393450.0,3.06
301528,多浦乐,74.97,4640643000.0,2386517686.0,2.96
002517,恺英网络,18.2,38883266859.0,34381377449.0,3.76
603136,天目湖,11.34,3063236891.0,3063236891.0,2.22
002283,天润工业,11.34,12921444399.0,11372052839.0,2.07
603833,欧派家居,48.82,29738842967.0,29738842967.0,1.62
300241,瑞丰光电,6.89,4835559120.0,4050858708.0,2.12
300340,科恒股份,11.35,3127092015.0,3103805754.0,48.56
002273,水晶光电,33.27,46266333993.0,45316347669.0,4.54
301193,家联科技,24.61,5490575117.0,4095188117.0,3.48
600754,锦江酒店,26.48,28235582797.0,23992046788.0,1.76
920076,国亮新材,20.99,1755487966.0,414792143.0,1.76
300619,金银河,42.05,7316685619.0,6159757157.0,4.63
301362,民爆光电,144.6,15135282000.0,4290282000.0,5.93
688388,嘉元科技,51.11,23289487407.0,23289487407.0,2.88
600423,*ST柳化,3.07,2451993730.0,2451993730.0,4.66
000833,粤桂股份,28.88,23164134542.0,13102914511.0,5.57
300890,翔丰华,42.4,5051812957.0,4615882233.0,2.36
000155,川能动力,19.26,35557202267.0,35557202267.0,3.4
920078,族兴新材,25.25,3030000000.0,522675000.0,3.06
688556,高测股份,13.14,10916369493.0,10916369493.0,2.77
002512,ST达华,4.11,4572361158.0,4498196824.0,14.05
300073,当升科技,64.96,35357316673.0,32867896428.0,2.36
300207,欣旺达,27.8,51359455999.0,47644649279.0,2.08
